SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON_YEAR
22014,1610612747,LAL,Los Angeles Lakers,0021401093,2015-03-29,LAL @ BKN,L,240,99,42,91,0.462,6,18,0.333,9,11,0.818,9,34,43,25,7,4,11,14,-8.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021401080,2015-03-27,LAL @ TOR,L,240,83,29,84,0.345,4,17,0.235,21,29,0.724,16,30,46,14,6,2,12,19,-11.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021401067,2015-03-25,LAL @ MIN,W,264,101,39,92,0.424,6,26,0.231,17,18,0.944,14,34,48,21,8,4,16,23,2.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021401056,2015-03-24,LAL @ OKC,L,239,117,44,85,0.518,9,19,0.474,20,27,0.741,8,20,28,22,10,7,10,17,-10.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021401047,2015-03-22,LAL vs. PHI,W,240,101,39,81,0.481,5,14,0.357,18,22,0.818,13,39,52,21,4,9,13,21,14.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021401019,2015-03-19,LAL vs. UTA,L,240,73,31,77,0.403,3,11,0.273,8,17,0.471,9,34,43,20,9,3,14,22,-7.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021400999,2015-03-16,LAL @ GSW,L,240,105,39,85,0.459,8,15,0.533,19,21,0.905,10,35,45,24,11,5,18,19,-3.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021400989,2015-03-15,LAL vs. ATL,L,240,86,34,85,0.4,7,18,0.389,11,15,0.733,19,35,54,21,6,4,21,22,-5.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021400966,2015-03-12,LAL vs. NYK,L,240,94,38,90,0.422,5,18,0.278,13,21,0.619,15,36,51,18,6,4,13,26,-7.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021400951,2015-03-10,LAL vs. DET,W,241,93,32,75,0.427,3,13,0.231,26,30,0.867,10,36,46,23,8,1,11,17,8.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021400937,2015-03-08,LAL vs. DAL,L,240,93,38,82,0.463,2,14,0.143,15,21,0.714,15,32,47,23,5,5,16,24,-7.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021400918,2015-03-06,LAL @ MEM,L,240,90,39,84,0.464,5,12,0.417,7,9,0.778,5,39,44,22,6,9,9,26,-7.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021400905,2015-03-04,LAL @ MIA,L,240,94,38,88,0.432,7,18,0.389,11,17,0.647,7,35,42,23,11,1,14,26,-6.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021400890,2015-03-03,LAL @ CHA,L,240,103,39,86,0.453,6,17,0.353,19,21,0.905,6,35,41,24,6,4,11,21,-1.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021400878,2015-03-01,LAL vs. OKC,L,239,101,40,90,0.444,9,25,0.36,12,18,0.667,9,40,49,25,6,6,9,20,-7.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021400868,2015-02-27,LAL vs. MIL,W,239,101,40,85,0.471,6,18,0.333,15,22,0.682,9,41,50,23,7,5,12,21,8.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021400851,2015-02-25,LAL @ UTA,W,240,100,40,89,0.449,2,11,0.182,18,21,0.857,14,28,42,17,12,8,9,25,3.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021400829,2015-02-22,LAL vs. BOS,W,264,118,43,84,0.512,7,18,0.389,25,38,0.658,6,40,46,22,8,4,17,27,7.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021400815,2015-02-20,LAL vs. BKN,L,240,105,41,89,0.461,4,23,0.174,19,29,0.655,14,32,46,22,10,4,10,18,-9.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021400798,2015-02-11,LAL @ POR,L,241,86,34,93,0.366,7,16,0.438,11,11,1.0,14,34,48,17,4,5,10,23,-16.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021400787,2015-02-10,LAL vs. DEN,L,240,96,37,85,0.435,6,18,0.333,16,27,0.593,14,29,43,23,3,2,10,24,-10.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021400766,2015-02-08,LAL @ CLE,L,239,105,41,100,0.41,7,23,0.304,16,19,0.842,19,27,46,22,11,5,7,18,-15.0,2014
